Point_ID,Longitude ,Latitude,Altitude ,Easting,Northing,Comment,PDOP,HDOP
44,-93.66485315,42.03492135,273.28,444968.429,4653867.311,block 2 SE post,2.9,2
46,-93.6647519,42.03551275,269.294,444977.32,4653932.909,block 1 NE post,2.5,1.4
47,-93.66476402,42.0352218,271.348,444976.066,4653900.612,block 1 SE post,32.9,14.7
48,-93.66484973,42.03520754,271.815,444968.959,4653899.084,block 2 NE post,49.7,47
56,-93.6651392,42.03550961,269.227,444945.26,4653932.809,block 1 NW post,22.5,17.3
57,-93.66522447,42.03521382,269.419,444937.946,4653900.022,block 2 NW post,2.7,1.5
58,-93.66514285,42.03523056,270.426,444944.716,4653901.828,block 1 SW post,2.8,2.3
59,-93.66522914,42.03492907,271.082,444937.314,4653868.409,block 2 SW post,2.7,1.5
60,-93.66523497,42.03491452,270.882,444936.819,4653866.798,block 4 NW post,2.8,1.4
61,-93.66485596,42.03490439,273.61,444968.182,4653865.429,block 4 NE post,3.4,1.7
62,-93.66486999,42.03461585,274.573,444966.772,4653833.401,block 4 SE post,2.8,1.4
63,-93.6652451,42.03463188,272.279,444935.736,4653835.422,block 4 SW post,5.8,3.3
308,-93.66479734,42.03489625,274.077,444973.027,4653864.487,block 5 NW post,2.1,1.1
309,-93.66480302,42.03460794,275.048,444972.308,4653832.48,block 5 SW post,12.5,5.1
310,-93.66441659,42.0346052,274.639,445004.292,4653831.927,block 5 SE post,7.7,3.4
311,-93.66441326,42.03489341,274.139,445004.816,4653863.925,block 5 NE post,2.7,1.7
339,-93.66480506,42.03520651,272.492,444972.656,4653898.941,block 3 NW post,3.7,1.5
340,-93.66479579,42.03491908,273.27,444973.175,4653867.022,block 3 SW post,2.7,1.5
341,-93.66441325,42.03492023,273.399,445004.84,4653866.903,block 3 SE post,2.5,1.3
342,-93.66441828,42.03520919,271.19,445004.673,4653898.989,block 3 NE post,2.7,1.5
695,-93.66501671,42.03543533,270.188,444955.334,4653924.483,1 NW strip,2.1,1.2
696,-93.66487771,42.03543078,270.709,444966.836,4653923.888,1 NW strip,6.2,4.7
697,-93.6648861,42.03530091,271.847,444966.029,4653909.474,1 SE strip,2.8,1.4
698,-93.66503499,42.03531685,270.824,444953.719,4653911.34,1 SW strip,5.3,3.4
699,-93.66512914,42.03511864,270.739,444945.755,4653889.393,2 NW strip,5.8,2.1
700,-93.66495053,42.03511316,271.799,444960.534,4653888.669,2 NE strip,5.9,2.3
701,-93.66495407,42.03501869,271.913,444960.159,4653878.183,2 SE strip,4.3,2.2
702,-93.66510929,42.0350031,271.067,444947.298,4653876.552,2 SW strip,3.3,2.4
703,-93.66513507,42.03481747,271.695,444945.004,4653855.958,4 NW strip,5.7,2.1
704,-93.6651216,42.03470274,272.136,444946.02,4653843.211,4 SW strip,5.6,2.1
705,-93.6649853,42.03470148,273.093,444957.301,4653842.983,4 SE strip,3.4,2.5
706,-93.66488099,42.03489468,272.673,444966.102,4653864.367,4 NE strip,5.4,2.2
707,-93.6646932,42.03480614,273.977,444981.569,4653854.416,5 NW strip,3.5,1.7
708,-93.66468227,42.03468408,273.998,444982.369,4653840.856,5 SW strip,3.5,1.7
709,-93.66452188,42.03470103,274.114,444995.659,4653842.635,5 SE strip,2.6,1.4
710,-93.66453778,42.03482282,273.625,444994.448,4653856.168,5 NE strip,2.6,1.4
711,-93.6647007,42.03501323,274.045,444981.127,4653877.414,3 SW strip,5.1,2.2
712,-93.66468152,42.03513096,273.382,444982.816,4653890.473,3 NW strip,5.9,3.4
713,-93.66455374,42.03513516,272.877,444993.396,4653890.857,3 NE strip,2.5,1.4
714,-93.66454115,42.03499998,273.492,444994.322,4653875.84,3 SE strip,4.8,2.2
715,-93.66438024,42.03489828,273.926,445007.553,4653864.445,block 6 NW post,2.5,1.4
716,-93.66424615,42.03481892,273.898,445018.584,4653855.547,6 NW strip,3.3,1.6
717,-93.66424751,42.03468766,273.571,445018.358,4653840.975,6 SW post,5.9,3.4
718,-93.66436524,42.03460296,275.061,445008.54,4653831.646,block 6 SW post,9,4.3
719,-93.66397947,42.03460445,273.883,445040.473,4653831.563,block 6 SE post,4.3,2.1
720,-93.66410734,42.03469028,273.206,445029.963,4653841.175,6 SE post,6,3.4
721,-93.66411264,42.03482373,272.858,445029.639,4653855.996,6 NE strip,4.1,2.1
722,-93.66399043,42.03490262,273.114,445039.823,4653864.676,block 6 NE post,4.7,3
723,-93.66378327,42.03519548,273.398,445057.223,4653897.06,block 7 SE post,6,3.3
724,-93.66391376,42.03527993,273.11,445046.494,4653906.52,7 SE strip,6.1,3.3
725,-93.66390567,42.03541422,272.794,445047.28,4653921.425,7 NE strip,3.8,2.7
726,-93.66405119,42.03528383,272.532,445035.122,4653907.041,7 SW strip,3.8,2.6
727,-93.66417481,42.03520947,271.883,445024.825,4653898.864,block 7 SW post,2.9,1.6
728,-93.6640408,42.03541899,271.306,445036.098,4653922.041,7 NW strip,2.9,1.6
729,-93.66377944,42.03549396,271.672,445057.797,4653930.198,block 7 NE post,3.5,2
730,-93.66417028,42.03550159,270.303,445025.452,4653931.295,block 7 NW post,14.8,7.9
731,-93.66374394,42.03536229,272.908,445060.621,4653915.555,block 8 NW post,6.3,3.3
732,-93.66363414,42.03526814,274.036,445069.629,4653905.031,8 NW strip,2.7,1.5
733,-93.66345739,42.03526208,274.903,445084.254,4653904.245,8 NE strip,2.7,1.5
734,-93.66334707,42.03535307,275.217,445093.464,4653914.277,block 8 NE post,6.5,3.3
735,-93.66336238,42.03506175,274.508,445091.945,4653881.941,block 8 SE post,3.6,2.3
736,-93.66346425,42.03516271,273.905,445083.6,4653893.216,8 SE strip,29.9,18.4
737,-93.66364095,42.03516776,274.823,445068.979,4653893.89,8 SW strip,6.6,3.4
738,-93.66375213,42.03507819,274.102,445059.699,4653884.017,block 8 SW post,38.7,24
