"","Point_ID","Longitude","Latitude","Altitude","Easting","Northing","Comment","PDOP","HDOP","common.name","Genus","Species","GenSp"
"1",741,-93.66409862,42.03553907,270.81,445031.416,4653935.411,"mulberry 1",2.9,1.6,"mulberry","Morus","alba","Morus alba"
"2",742,-93.6640024,42.03554071,270.907,445039.382,4653935.532,"buckthorn 1",9.9,4.5,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"3",743,-93.66398682,42.03556259,272.187,445040.69,4653937.951,"buckthorn 2",4.6,3.3,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"4",744,-93.66398877,42.0355797,271.62,445040.544,4653939.852,"buckthorn 3",2.7,1.5,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"5",745,-93.66400295,42.03559883,271.136,445039.386,4653941.985,"mulberry 2",20.1,6.7,"mulberry","Morus","alba","Morus alba"
"6",746,-93.66393215,42.03558673,271.993,445045.236,4653940.595,"mulberry 3",2.8,1.6,"mulberry","Morus","alba","Morus alba"
"7",747,-93.66392201,42.03558262,272.027,445046.072,4653940.133,"plum 1",3,1.7,"plum","Prunus","unknown","Prunus unknown"
"8",748,-93.66389656,42.03559386,272.103,445048.188,4653941.365,"plum 2",3,1.5,"plum","Prunus","unknown","Prunus unknown"
"9",749,-93.66388605,42.03560382,272.016,445049.067,4653942.464,"plum 4",3,1.7,"plum","Prunus","unknown","Prunus unknown"
"10",750,-93.66389699,42.03557457,273.354,445048.136,4653939.223,"honeysuckle 1",11.9,5,"honeysuckle","Lonicera","unknown","Lonicera unknown"
"11",751,-93.66389624,42.03557179,272.942,445048.196,4653938.914,"plum 5",12.1,5.2,"plum","Prunus","unknown","Prunus unknown"
"12",752,-93.66391239,42.03557556,272.893,445046.862,4653939.343,"si.elm 1",5.7,3.2,"si.elm","Ulmus","pumila","Ulmus pumila"
"13",753,-93.6638956,42.03555285,272.294,445048.232,4653936.81,"plum 6",5.7,2.8,"plum","Prunus","unknown","Prunus unknown"
"14",754,-93.66390072,42.03555016,272.205,445047.806,4653936.515,"mulberry 4",6.1,4.8,"mulberry","Morus","alba","Morus alba"
"15",755,-93.66393091,42.03554613,271.686,445045.304,4653936.087,"plum 7",2.7,1.5,"plum","Prunus","unknown","Prunus unknown"
"16",756,-93.66379708,42.03552224,272.49,445056.361,4653933.348,"buckthorn 5",12.7,5.7,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"17",757,-93.66378582,42.03552174,272.92,445057.292,4653933.286,"buckthorn 6",2.3,1.4,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"18",758,-93.66373623,42.03552761,273.3,445061.402,4653933.905,"buckthorn 7",2.5,1.3,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"19",759,-93.66377597,42.03564034,272.158,445058.209,4653946.448,"hackberry 1",5.6,3.1,"hackberry","Celtis","occidentalis","Celtis occidentalis"
"20",760,-93.66379457,42.03563076,271.665,445056.662,4653945.397,"hackberry 2",11,4.9,"hackberry","Celtis","occidentalis","Celtis occidentalis"
"21",761,-93.66375315,42.03563749,272.116,445060.096,4653946.117,"black cherry 2",2.2,1.4,"black cherry","Prunus","serotina","Prunus serotina"
"22",762,-93.66375495,42.03563,273.501,445059.941,4653945.287,"hackberry 3",12.6,6.2,"hackberry","Celtis","occidentalis","Celtis occidentalis"
"23",763,-93.66373957,42.03561787,273.439,445061.203,4653943.93,"hackberry 4",12.6,6.2,"hackberry","Celtis","occidentalis","Celtis occidentalis"
"24",764,-93.66376196,42.03559934,272.913,445059.334,4653941.887,"si.elm 2",2.2,1.4,"si.elm","Ulmus","pumila","Ulmus pumila"
"25",765,-93.66364489,42.03561172,273.638,445069.035,4653943.185,"buckthorn 8",2.2,1.4,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"26",766,-93.66366971,42.03553046,274.423,445066.91,4653934.18,"buckthorn 9",3.3,2.2,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"27",767,-93.66362768,42.03553354,274.294,445070.392,4653934.495,"black cherry 3",3.5,2.4,"black cherry","Prunus","serotina","Prunus serotina"
"28",768,-93.66360435,42.03560128,273.86,445072.381,4653942.001,"buckthorn 10",2.7,1.5,"buckthorn","Rhamnus","unknown","Rhamnus unknown"
"29",769,-93.6635984,42.03559663,272.798,445072.87,4653941.48,"hackberry",65.1,22.2,"hackberry","Celtis","occidentalis","Celtis occidentalis"
"30",770,-93.6635906,42.0355791,273.058,445073.5,4653939.529,"honeysuckle 2",3,1.5,"honeysuckle","Lonicera","unknown","Lonicera unknown"
"31",771,-93.66354576,42.03559427,273.14,445077.225,4653941.185,"hackberry 5",5.8,3.6,"hackberry","Celtis","occidentalis","Celtis occidentalis"
"32",772,-93.66354667,42.03561101,274.03,445077.164,4653943.044,"black cherry 4",3.7,2.6,"black cherry","Prunus","serotina","Prunus serotina"
