"","ID","Date","Block","Treatment","Genus","Species","Common.Name","Height..m.","Notes"
"1","1","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.55",""
"2","2","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.55",""
"3","3","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.84","some herb. Deer"
"4","4","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.55",""
"5","5","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.995",""
"6","6","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.61",""
"7","7","10/8/2016",4,4,"Acer","saccharinum","silver maple","1.34","deer herb."
"8","8","10/8/2016",4,4,"Cornus","drummondii","roughleaf dogwood","0.6","unknown - leaves entire, rough, opposite, long leaves, browny-red, not glaborous "
"9","9","10/8/2016",4,4,"","","Crataegus spp.1 ","1.04","pics 1,2"
"10","10","10/8/2016",4,4,"","","","0.88","not a tree"
"11","11","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.51",""
"12","12","10/8/2016",4,4,"Cornus","drummondii","roughleaf dogwood","1.11","same as 8"
"13","13","10/8/2016",4,4,"Prunus","serotina","black cherry","0.84","black cherry - orange hairs on midvein, black nodules "
"14","14","10/8/2016",4,4,"Prunus","serotina","black cherry","0.63",""
"15","15","10/8/2016",4,4,"Prunus","serotina","black cherry","0.5",""
"16","16","10/8/2016",4,4,"Prunus","serotina","black cherry","0.63",""
"17","17","10/8/2016",4,4,"Prunus","serotina","black cherry","0.68",""
"18","18","10/8/2016",4,4,"Prunus","serotina","black cherry","0.69",""
"19","19","10/8/2016",4,4,"Prunus","serotina","black cherry","0.9",""
"20","20","10/8/2016",4,4,"Prunus","serotina","black cherry","0.56",""
"21","21","10/8/2016",4,2,"Prunus","serotina","black cherry","0.84","probs in HD"
"22","22","10/8/2016",4,2,"Vitus","riparia","grape vine","-","grape vine"
"23","23","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.5",""
"24","24","10/8/2016",4,4,"Fraxinus","pennsylvanica","green ash","0.7","strip - right outside"
"25","25","10/8/2016",4,4,"Cornus","drummondii","roughleaf dogwood","0.69","edge - same as 8"
"26","26","10/8/2016",4,4,"Fraxinus","pennsylvanica","green ash","0.51","edge - same as 8"
"27","27","10/8/2016",4,2,"","","callery pear/pyrus","0.58","or prunus, but no glands. Picture - 11.30 "
"28","28","10/8/2016",4,2,"Prunus","serotina","black cherry","0.56",""
"29","29","10/8/2016",4,2,"Acer","negundo","boxelder","0.59",""
"30","30","10/8/2016",4,2,"Prunus","serotina","black cherry","0.81","pin cherry? No hair"
"31","31","10/8/2016",4,2,"","","crataegus sp. 1 ","0.83","some lobed, some unlobed"
"32","32","10/8/2016",4,2,"Prunus","serotina","black cherry","0.91",""
"33","33","10/8/2016",4,2,"Prunus","serotina","black cherry","0.73",""
"34","34","10/8/2016",4,3,"Acer","saccharinum","silver maple","0.51",""
"35","35","10/8/2016",4,3,"Prunus","serotina","black cherry","0.715",""
"36","36","10/8/2016",4,3,"Prunus","serotina","black cherry","0.54",""
"37","37","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.505",""
"38","38","10/8/2016",4,4,"Acer","negundo","boxelder","0.715",""
"39","39","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.505",""
"40","40","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.717","at edge of strip"
"41","41","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.966","at edge of strip"
"42","42","10/8/2016",4,3,"","","unknown","0.845","honeysuckle vs. cornus?"
"43","43","10/8/2016",4,2,"Acer","saccharinum","silver maple","0.824",""
"44","44","10/8/2016",4,2,"","","rubus spp","0.847","not 100% positive this is woody"
"45","45","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.52","close to edge of strip"
"46","46","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.58",""
"47","47","10/8/2016",4,4,"Cercis","canadensis","redbud","0.605","3 GPS points use 47 real"
"48","48","10/8/2016",4,4,"Morus","","mulberry","0.831","aon edge"
"49","49","10/8/2016",4,4,"Cornus","stolonifera","red osier dogwood","0.676","on strip - red!!"
"50","50","10/8/2016",4,4,"","","unknown ","0.804","malus/hawthorn, sharp,thorns"
"51","51","10/8/2016",4,4,"Vitus","riparia","grape vine","0.303","spp uncertain"
"52","52","10/8/2016",4,4,"","","hawthorn","0.52","protected by chenopodium + switchgrass"
"53","53","10/8/2016",4,4,"Fraxinus","pennsylvanica","green ash","0.517",""
"54","54","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.71",""
"55","55","10/8/2016",4,4,"Acer","saccharinum","silver maple","0.624","on strip "
"56","56","10/8/2016",4,4,"Vitus","riparia","grape vine","0.775","growing up a lespidiza stem "
"57","57","",2,4,"","","acer negundo","0.77","boxelder? Check bark"
